stationcode,name,capacity,station_opening_hours,panne
41101,Paul Doumer - Stalingrad,0,,True
18023,Ordener - Poissonniers,0,,True
11020,Belfort - Voltaire,0,,True
21213,Vanne - Général de Gaulle,0,,True
10031,Louis Blanc - Aqueduc,0,,True
15026,Bir Hakeim,0,,True
6001,Institut de France,0,,True
12127,Tremblay - Lac des Minimes,0,,True
8004,Malesherbes - Place de la Madeleine,0,,True
6108,Saint-Romain - Cherche-Midi,0,,True
40011,Bas du Mont-Mesly,0,,True
12109,Mairie du 12ème,0,,True
21326,Moulin de Pierre - Abbé Grégoire,0,,True
7018,Ségur - d'Estrées,0,,True
21323,Charlot - Stade Gabriel Voisin,0,,True
19015,Thionville - Ourcq,0,,True
26003,Argenteuil - Voltaire,0,,True
17043,Belidor - Gouvion-Saint-Cyr,26,,False
10016,Récollets - Square Villemin,0,,True
33102,Gabriel Péri - Francisco Ferrer,0,,True
31003,Paris - Emile Zola,0,,True
10014,Marseille - Beaurepaire,0,,True
12204,Prague - Théophile Roussel,1,,False
32016,Place de la Porte de Paris,0,,True
19205,Simon Bolivar - Henri Turot,0,,True
28001,Richard Wallace - Place du 8 Mai 1945,0,,True
18110,Departement - Pajol,0,,True
19005,Flandre - Riquet,0,,True
43402,Place de Verdun,0,,True
21305,Place Jacques Madaule,0,,True
33003,Bordier - Félix Faure,0,,True
27002,Parc Pierre Lagravère,0,,True
17007,Navier - Epinettes,0,,True
18020,Francoeur - Marcadet,0,,True
5116,Place Valhubert,0,,True
13026,Place Jean Delay,0,,True
21105,Morice - Général Leclerc,0,,True
16032,Eglise d'Auteuil,0,,True
9023,Laffitte - Italiens,0,,True
18049,Porte d'Aubervilliers,0,,True
21014,Hameau Fleuri - Marché,0,,True
15070,Balard - Montagne de la Fage,0,,True
10010,Place Jacques Bonsergent,0,,True
7016,Surcouf - Université,2,,False
11019,Charonne - Philippe-Auguste,0,,True
9015,Lamartine - Faubourg Montmartre,0,,True
19113,Pré Saint-Gervais - Lilas,0,,True
13117,Stade Georges Carpentier,0,,True
10012,Vinaigriers - Magenta,0,,True
21204,Estienne d'Orves - Henri Ginoux,0,,True
15057,Lucien Bossoutrot - Général Martial Vallin,0,,True
15004,Vaugirard - Pasteur,0,,True
8037,Monceau - Malesherbes,0,,True
51002,Placette Grégoire Collas,0,,True
12005,Crozatier - Faubourg Saint-Antoine,0,,True
41203,Stalingrad - Rigollots,3,,False
14026,Plantes - Moulin Vert,0,,True
12019,Gare de Reuilly - Picpus,5,,False
8028,Arsène Houssaye - Champs-Elysées,0,,True
31709,Place de la Fraternité,0,,True
3001,Beaumarchais - Saint-Gilles,0,,True
3012,Square Emile - Chautemps,0,,True
13125,Gare d'Austerlitz - Pont Charles de Gaulle,0,,True
4012,Tiron - Rivoli,0,,True
21215,Verdier - Jean Jaurès,0,,True
13054,Pau Casals - Neuve Tolbiac,0,,True
48012,Stalingrad - Henri Luisette,0,,True
32605,Mairie,0,,True
23206,Béranger - Félix Faure,0,,True
20032,Square des Amandiers,0,,True
16022,Jean Bologne - Passy,0,,True
21016,Point du Jour - Jean Jaurès,0,,True
11038,Temple - Charlot,0,,True
35021,Cartier Bresson - Denis Papin,0,,True
11001,Richard Lenoir - Place de la Bastille,0,,True
23204,Roland Garros - Jean Bouin,0,,True
10026,Gare de l'Est - Chateau Landon,0,,True
18026,Ruisseau - Ordener,0,,True
3004,Place de la République - Temple,3,,False
15105,Fédération - Suffren,0,,True
33019,Madeleine Vionnet,2,,False
4005,Quai des Célestins - Henri IV,0,,True
44015,Rouget de L'isle - Watteau,0,,True
44017,Jules Guesde - Pont du Port à l'Anglais,0,,True
16118,Michel-Ange - Parent de Rosan,0,,True
14013,Liard - Amiral Mouchez,0,,True
9002,Abbeville - Faubourg Poissonnière,0,,True
5022,Boulangers - Cardinal Lemoine,0,,True
19105,Ambroise Rendu - Porte Brunet,0,,True
22409,Henri Barbusse - Stalingrad,0,,True
12128,Pyramide - Ecole du Breuil,0,,True
15106,Grenelle - Violet,0,,True
31102,Boissière - Etienne Dolet,0,,True
21006,Marcelin Berthelot,0,,True
44003,Gabriel Péri - Danielle Casanova,0,,True
9010,Rochechouart lamartine,0,,True
24001,Arche - Léonard de Vinci,0,,True
14136,Auguste Cain - Jean Moulin,0,,True
32003,Wilson - Métallurgie,0,,True
8025,Miromesnil - La Boétie,0,,True
11007,Jean Macé - Faidherbe,0,,True
33018,Edouard Poisson - Victor Hugo,0,,True
7015,Varenne,0,,True
5106,Cujas - Saint-Michel,0,,True
31012,Place Carnot,0,,True
5026,Pascal - Claude Bernard,0,,True
15028,Grenelle - Dr Finlay,0,,True
8102,Lamennais - Washington,0,,True
21019,Edouard Vaillant - Paul-Adolphe Souriau,0,,True
17027,Place du Maréchal Juin - Péreire,0,,True
16123,Mahatma Gandhi,26,,False
14112,Méchain - Faubourg Saint-Jacques,0,,True
47004,Stade Auguste Delaune,0,,True
16122,Route de la Muette - Porte de Neuilly,0,,True
21311,Parvis Corentin Celton,0,,True
17116,Reims - Porte d'Asnières,0,,True
15061,Square Desnouettes,0,,True
33005,République - Henri Barbusse,0,,True
18142,Jessaint - Marx Dormoy,0,,True
18035,René Binet - Porte de Montmartre,0,,True
19036,Hôpital Robert Debré,0,,True
14113,Santé - Arago,0,,True
15072,Place Fernand Forest,0,,True
16007,Longchamp - Place d'Iéna,2,,False
22604,Hôtel de Ville de Fontenay-aux-Roses,0,,True
21028,Pierre Lefaucheux - Traversière,0,,True
20108,Jardin de l'Hospice Debrousse,0,,True
13033,Porte d'Italie,0,,True
12043,Daumesnil - Hébrard,0,,True
14131,Jourdan - Monticelli,0,,True
14010,Jean Moulin - Place Victor et Hélène Basch,0,,True
4020,Place Edmond Michelet,0,,True
33016,Fort d'Aubervilliers,0,,True
6002,Saint-Benoît - Jacob,0,,True
2013,Favart - Italiens,2,,False
13005,Cordelières - Arago,0,,True
21507,Gardenat-Lapostol - Velettes,0,,True
8036,Lisbonne - Monceau,4,,False
2016,Aboukir - Alexandrie,0,,True
12164,Stade Pershing,0,,True
18010,Riquet - Marx Dormoy,0,,True
18135,Ney - Porte de Montmartre,0,,True
25007,Bons Raisins - Voltaire,0,,True
41605,Général De Gaulle - Vivien,0,,True
43007,Hôtel de Ville de Vincennes,0,,True
12022,Sahel - Général Michel Bizot,0,,True
21023,Ancienne Mairie - André Morizet,1,,False
12122,Bois de Vincennes - Polygone,0,,True
11028,Guillaume Bertrand - République,0,,True
25002,Hôtel de Ville de Rueil-Malmaison,0,,True
15113,Arsonval - Falguière,0,,True
3201,Payenne - Square George Caïn,0,,True
18045,Pierre Ginier - Clichy,0,,True
22507,Châteaudun - Place de la Liberté,0,,True
12106,Gare de Lyon - Roland Barthes,0,,True
